year,District,month,Outbreak status,date
2018,Nuwara Eliya,May,0,2018-05-01
2018,Nuwara Eliya,June,0,2018-06-01
2018,Nuwara Eliya,July,0,2018-07-01
2018,Nuwara Eliya,August,0,2018-08-01
2018,Nuwara Eliya,September,1,2018-09-01
2018,Nuwara Eliya,October,0,2018-10-01
2018,Nuwara Eliya,November,0,2018-11-01
2018,Nuwara Eliya,December,0,2018-12-01
2018,Polonnaruwa,January,1,2018-01-01
2018,Polonnaruwa,February,0,2018-02-01
2018,Polonnaruwa,March,1,2018-03-01
2018,Polonnaruwa,April,1,2018-04-01
2018,Polonnaruwa,May,0,2018-05-01
2018,Polonnaruwa,June,0,2018-06-01
2018,Polonnaruwa,July,0,2018-07-01
2018,Polonnaruwa,August,0,2018-08-01
2018,Polonnaruwa,September,0,2018-09-01
2018,Polonnaruwa,October,1,2018-10-01
2018,Polonnaruwa,November,0,2018-11-01
2018,Polonnaruwa,December,1,2018-12-01
2018,Puttalam,January,0,2018-01-01
2018,Puttalam,February,0,2018-02-01
2018,Puttalam,March,0,2018-03-01
2018,Puttalam,April,0,2018-04-01
2018,Puttalam,May,1,2018-05-01
2018,Puttalam,June,0,2018-06-01
2018,Puttalam,July,0,2018-07-01
2018,Puttalam,August,0,2018-08-01
2018,Puttalam,September,0,2018-09-01
2018,Puttalam,October,0,2018-10-01
2018,Puttalam,November,0,2018-11-01
2018,Puttalam,December,0,2018-12-01
2018,Ratnapura,January,0,2018-01-01
2018,Ratnapura,February,0,2018-02-01
2018,Ratnapura,March,0,2018-03-01
2018,Ratnapura,April,0,2018-04-01
2018,Ratnapura,May,0,2018-05-01
2018,Ratnapura,June,0,2018-06-01
2018,Ratnapura,July,0,2018-07-01
2018,Ratnapura,August,0,2018-08-01
2018,Ratnapura,September,0,2018-09-01
2018,Ratnapura,October,0,2018-10-01
2018,Ratnapura,November,0,2018-11-01
2018,Ratnapura,December,0,2018-12-01
2018,Trincomalee,January,0,2018-01-01
2018,Trincomalee,February,0,2018-02-01
2018,Trincomalee,March,0,2018-03-01
2018,Trincomalee,April,0,2018-04-01
2018,Trincomalee,May,0,2018-05-01
2018,Trincomalee,June,0,2018-06-01
2018,Trincomalee,July,0,2018-07-01
2018,Trincomalee,August,0,2018-08-01
2018,Trincomalee,September,1,2018-09-01
2018,Trincomalee,October,0,2018-10-01
2018,Trincomalee,November,0,2018-11-01
2018,Trincomalee,December,1,2018-12-01
2018,Vavuniya,January,0,2018-01-01
2018,Vavuniya,February,1,2018-02-01
2018,Vavuniya,March,0,2018-03-01
2018,Vavuniya,April,0,2018-04-01
2018,Vavuniya,May,0,2018-05-01
2018,Vavuniya,June,1,2018-06-01
2018,Vavuniya,July,0,2018-07-01
2018,Vavuniya,August,0,2018-08-01
2018,Vavuniya,September,0,2018-09-01
2018,Vavuniya,October,0,2018-10-01
2018,Vavuniya,November,0,2018-11-01
2018,Vavuniya,December,1,2018-12-01
2019,Ampara,January,1,2019-01-01
2019,Ampara,February,0,2019-02-01
2019,Ampara,March,0,2019-03-01
2019,Ampara,April,0,2019-04-01
2019,Ampara,May,0,2019-05-01
2019,Ampara,June,0,2019-06-01
2019,Ampara,July,0,2019-07-01
2019,Ampara,August,0,2019-08-01
2019,Ampara,September,1,2019-09-01
2019,Ampara,October,0,2019-10-01
2019,Ampara,November,0,2019-11-01
2019,Ampara,December,0,2019-12-01
2019,Anuradhapura,January,1,2019-01-01
2019,Anuradhapura,February,0,2019-02-01
2019,Anuradhapura,March,0,2019-03-01
2019,Anuradhapura,April,1,2019-04-01
2019,Anuradhapura,May,0,2019-05-01
2019,Anuradhapura,June,0,2019-06-01
2019,Anuradhapura,July,0,2019-07-01
2019,Anuradhapura,August,0,2019-08-01
2019,Anuradhapura,September,0,2019-09-01
2019,Anuradhapura,October,0,2019-10-01
2019,Anuradhapura,November,1,2019-11-01
2019,Anuradhapura,December,1,2019-12-01
2019,Badulla,January,0,2019-01-01
2019,Badulla,February,0,2019-02-01
2019,Badulla,March,0,2019-03-01
2019,Badulla,April,0,2019-04-01
2019,Badulla,May,0,2019-05-01
2019,Badulla,June,0,2019-06-01
2019,Badulla,July,0,2019-07-01
2019,Badulla,August,0,2019-08-01
2019,Badulla,September,0,2019-09-01
2019,Badulla,October,0,2019-10-01
2019,Badulla,November,0,2019-11-01
2019,Badulla,December,1,2019-12-01
2019,Batticaloa,January,0,2019-01-01
2019,Batticaloa,February,1,2019-02-01
2019,Batticaloa,March,0,2019-03-01
2019,Batticaloa,April,0,2019-04-01
2019,Batticaloa,May,0,2019-05-01
2019,Batticaloa,June,0,2019-06-01
2019,Batticaloa,July,0,2019-07-01
2019,Batticaloa,August,0,2019-08-01
2019,Batticaloa,September,1,2019-09-01
2019,Batticaloa,October,1,2019-10-01
2019,Batticaloa,November,1,2019-11-01
2019,Batticaloa,December,0,2019-12-01
2019,Colombo,January,0,2019-01-01
2019,Colombo,February,0,2019-02-01
2019,Colombo,March,0,2019-03-01
2019,Colombo,April,0,2019-04-01
2019,Colombo,May,0,2019-05-01
2019,Colombo,June,0,2019-06-01
2019,Colombo,July,0,2019-07-01
2019,Colombo,August,0,2019-08-01
2019,Colombo,September,0,2019-09-01
2019,Colombo,October,0,2019-10-01
2019,Colombo,November,0,2019-11-01
2019,Colombo,December,0,2019-12-01
2019,Galle,January,0,2019-01-01
2019,Galle,February,0,2019-02-01
2019,Galle,March,0,2019-03-01
2019,Galle,April,0,2019-04-01
2019,Galle,May,0,2019-05-01
2019,Galle,June,0,2019-06-01
2019,Galle,July,0,2019-07-01
2019,Galle,August,0,2019-08-01
2019,Galle,September,0,2019-09-01
2019,Galle,October,0,2019-10-01
2019,Galle,November,0,2019-11-01
2019,Galle,December,0,2019-12-01
2019,Gampaha,January,1,2019-01-01
2019,Gampaha,February,0,2019-02-01
2019,Gampaha,March,0,2019-03-01
2019,Gampaha,April,0,2019-04-01
2019,Gampaha,May,0,2019-05-01
2019,Gampaha,June,0,2019-06-01
2019,Gampaha,July,0,2019-07-01
2019,Gampaha,August,0,2019-08-01
2019,Gampaha,September,1,2019-09-01
2019,Gampaha,October,1,2019-10-01
2019,Gampaha,November,1,2019-11-01
2019,Gampaha,December,1,2019-12-01
2019,Hambantota,January,0,2019-01-01
2019,Hambantota,February,0,2019-02-01
2019,Hambantota,March,0,2019-03-01
2019,Hambantota,April,0,2019-04-01
2019,Hambantota,May,0,2019-05-01
